LS 5039;;3.9 day orbit;;;;x10^-12 cm^-2 s^-1;LS 5039;;3FHL: 201±32
phase;day ;index;flux (at 1 TeV)x10^-12 TeV^-1 cm^-2 s^-1;cutoff (TeV);;integral flux>1TeV;phase;integral flux>1TeV;integral flux>10GeV
0,05;0,20;2,52;0,750;none;;0,493;0,05;0,49;541,0254257
0,15;0,59;2,5;0,520;none;;0,347;0,15;0,35;346,6666667
0,25;0,98;2,36;0,600;none;;0,441;0,25;0,44;231,5327031
0,35;1,37;2,42;0,900;none;;0,634;0,35;0,63;438,4844182
0,45;1,76;2,245;2,200;6,6;;1,767;0,45;1,77;546,0763013
0,55;2,15;2,185;2,280;6,6;;1,924;0,55;1,92;451,0414936
0,65;2,54;2,125;2,350;6,6;;2,089;0,65;2,09;371,4628101
0,75;2,93;1,945;2,380;6,6;;2,519;0,75;2,52;195,4992738
0,85;3,32;2,035;2,480;6,6;;2,396;0,85;2,40;281,5213465
0,95;3,71;2,32;1,600;none;;1,212;0,95;1,21;529,1100997
;;;;;;;;;
HESS J0632+057;;315 day orbit;;;;;HESS J0632+057;;3FHL: 40±15
phase;day;index;flux (at 1 TeV)x10^-12 TeV^-1 cm^-2 s^-1;cutoff (TeV);;integral flux>0.35TeV;phase;integral flux>1TeV;integral flux>10GeV
0,05;15,75;2,55;0,150;none;;0,493;0,05;0,10;121,8314915
0,15;47,25;2,55;0,300;none;;0,985;0,15;0,19;243,6629829
0,25;78,75;2,55;0,540;none;;1,773;0,25;0,35;438,5933693
0,35;110,25;2,55;1,500;none;;4,926;0,35;0,97;1218,314915
0,45;141,75;2,55;0,000;none;;0,000;0,45;0,00;0
0,55;173,25;2,55;0,300;none;;0,985;0,55;0,19;243,6629829
0,65;204,75;2,55;0,490;none;;1,609;0,65;0,32;397,9828721
0,75;236,25;2,55;0,670;none;;2,200;0,75;0,43;544,1806619
0,85;267,75;2,55;0,460;none;;1,510;0,85;0,30;373,6165738
0,95;299,25;2,55;0,240;none;;0,788;0,95;0,15;194,9303863
;;;;;;;;;
LS I +61¡ 303;;26.5 day orbit;;;;;LS I +61¡ 303;;3FHL: 537±40
phase;;index;flux (at 1 TeV)x10^-12 TeV^-1 cm^-2 s^-1;cutoff (TeV);;integral flux>0.3TeV;phase;integral flux>1TeV;integral flux>10GeV
0,05;1,32;2,4;0,250;none;;0,963;0,05;0,18;112,6709544
0,15;3,97;2,4;0,250;none;;0,963;0,15;0,18;112,6709544
0,25;6,62;2,4;0,250;none;;0,963;0,25;0,18;112,6709544
0,35;9,27;2,4;0,250;none;;0,963;0,35;0,18;112,6709544
0,45;11,92;2,4;0,250;none;;0,963;0,45;0,18;112,6709544
0,55;14,57;2,4;1,300;none;;5,010;0,55;0,93;585,8889627
0,65;17,22;2,4;5,200;none;;20,040;0,65;3,71;2343,555851
0,75;19,87;2,4;0,520;none;;2,004;0,75;0,37;234,3555851
0,85;22,52;2,4;0,250;none;;0,963;0,85;0,18;112,6709544
0,95;25,17;2,4;0,250;none;;0,963;0,95;0,18;112,6709544
;;;;;;;;;
HESS J1832-093;;Unknown period and no TeV variability. Assume a sinusoidal 60 day orbit, and a factor of 6 variability (after Eger 2016, arxiv:1601.03208);;;;;HESS J1832-093;;3FHL: 0
phase;;index;flux (at 1 TeV)x10^-12 TeV^-1 cm^-2 s^-1;cutoff (TeV);;integral flux>1TeV;phase;integral flux>1TeV;integral flux>10GeV
0,05;3,00;2,6;0,480;none;;0,300;0,05;0,30;475,4679577
0,15;9,00;2,6;0,621;none;;0,388;0,15;0,39;615,2044845
0,25;15,00;2,6;0,708;none;;0,443;0,25;0,44;701,5664075
0,35;21,00;2,6;0,708;none;;0,443;0,35;0,44;701,5664075
0,45;27,00;2,6;0,621;none;;0,388;0,45;0,39;615,2044845
0,55;33,00;2,6;0,480;none;;0,300;0,55;0,30;475,4679577
0,65;39,00;2,6;0,339;none;;0,212;0,65;0,21;335,731431
0,75;45,00;2,6;0,252;none;;0,157;0,75;0,16;249,369508
0,85;51,00;2,6;0,252;none;;0,157;0,85;0,16;249,369508
0,95;57,00;2,6;0,339;none;;0,212;0,95;0,21;335,731431
;;; ;;;;;;
